Image,Snow Realism,Structure preservation,Vehicle preservation,Road realism,Artifacts,Overall
img1,3,3,5,3,3,"3,4"
img2,4,4,4,4,3,"3,8"
img3,2,3,4,3,2,"2,8"
img4,4,3,3,4,3,"3,4"
img5,5,4,4,4,3,4
img6,4,4,2,4,3,"3,4"
img7,4,2,2,4,2,"2,8"
img8,3,3,2,3,2,"2,6"
img9,3,2,2,3,2,"2,4"
img10,3,3,4,4,3,"3,4"
img11,2,2,1,2,1,"1,6"
img12,4,3,4,4,3,"3,6"
img13,3,2,1,3,1,2
img14,2,2,2,3,1,2
img15,3,4,1,3,4,3
img16,1,2,1,2,1,"1,4"
img17,2,4,3,3,2,"2,8"
img18,3,4,2,4,3,"3,2"
img19,2,3,2,4,3,"2,8"
img20,5,4,3,5,4,"4,2"
img21,3,2,4,3,2,"2,8"
img22,2,2,3,4,2,"2,6"
img23,4,2,1,4,2,"2,6"
img24,2,3,3,4,3,3
img25,2,3,3,4,3,3
img26,4,3,2,4,3,"3,2"
img27,4,3,3,3,2,3
img28,4,2,1,3,3,"2,6"
img29,3,4,3,4,4,"3,6"
img30,2,3,4,3,2,"2,8"
img31,4,3,3,4,4,"3,6"
img32,4,4,4,5,5,"4,4"
img33,2,4,4,4,4,"3,6"
img34,4,4,2,4,2,"3,2"
img35,2,3,2,3,4,"2,8"
img36,3,4,5,4,4,4
img37,3,3,2,3,1,"2,4"
img38,2,4,2,4,2,"2,8"
img39,4,4,3,4,3,"3,6"
img40,4,3,1,4,3,3
img41,5,3,2,5,2,"3,4"
img42,3,3,4,4,3,"3,4"
img43,2,2,3,2,2,"2,2"
img44,3,3,3,3,2,"2,8"
img45,2,2,2,3,1,2
img46,5,2,1,3,1,"2,4"
img47,4,5,3,4,3,"3,8"
img48,3,2,3,2,2,"2,4"
img49,4,3,1,3,2,"2,6"
img50,2,3,4,2,2,"2,6"
,"3,14","3,04","2,66","3,5","2,54","2,976"
